,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
0,2023,EN,FT,Data Scientist,100000,USD,100000,US,100,US,M
2,2023,MI,FT,Data Analyst,142000,USD,142000,US,0,US,M
3,2023,MI,FT,Data Analyst,128000,USD,128000,US,0,US,M
4,2023,SE,FT,ETL Developer,99500,USD,99500,US,0,US,M
5,2023,SE,FT,ETL Developer,53300,USD,53300,US,0,US,M
6,2023,SE,FT,Data Engineer,210000,USD,210000,US,0,US,M
7,2023,SE,FT,Data Engineer,165000,USD,165000,US,0,US,M
8,2023,SE,FT,Research Scientist,172000,USD,172000,US,0,US,M
9,2023,SE,FT,Research Scientist,125000,USD,125000,US,0,US,M
10,2023,SE,FT,Data Engineer,250000,USD,250000,US,0,US,M
11,2023,SE,FT,Data Engineer,190000,USD,190000,US,0,US,M
12,2023,SE,FT,Research Engineer,245000,USD,245000,US,0,US,M
13,2023,SE,FT,Research Engineer,245000,USD,245000,US,0,US,M
14,2023,SE,FT,Data Architect,234900,USD,234900,US,0,US,M
15,2023,SE,FT,Data Architect,68400,USD,68400,US,0,US,M
16,2023,SE,FT,Data Scientist,155000,USD,155000,US,0,US,M
17,2023,SE,FT,Data Scientist,139000,USD,139000,US,0,US,M
18,2023,SE,FT,Data Analyst,142000,USD,142000,US,0,US,M
19,2023,SE,FT,Data Analyst,128000,USD,128000,US,0,US,M
20,2023,SE,FT,Research Engineer,172000,USD,172000,US,0,US,M
21,2023,SE,FT,Research Engineer,125000,USD,125000,US,0,US,M
22,2023,SE,FT,Data Engineer,128000,USD,128000,US,0,US,M
23,2023,SE,FT,Data Engineer,81500,USD,81500,US,0,US,M
24,2023,MI,FT,Data Engineer,167500,USD,167500,US,0,US,M
25,2023,MI,FT,Data Engineer,106500,USD,106500,US,0,US,M
26,2023,MI,FT,Data Engineer,150000,USD,150000,US,100,US,M
27,2023,MI,FT,Data Engineer,100000,USD,100000,US,100,US,M
28,2023,SE,FT,Data Analyst,139600,USD,139600,US,0,US,M
29,2023,SE,FT,Data Analyst,85700,USD,85700,US,0,US,M
30,2020,EN,FT,Azure Data Engineer,100000,USD,100000,MU,0,MU,S
31,2023,SE,FT,Data Engineer,143000,USD,143000,US,0,US,M
32,2023,SE,FT,Data Engineer,95000,USD,95000,US,0,US,M
33,2023,SE,FT,Data Manager,145000,USD,145000,US,0,US,M
34,2023,SE,FT,Data Manager,130000,USD,130000,US,0,US,M
35,2023,SE,FT,Machine Learning Engineer,330000,USD,330000,US,100,US,M
36,2023,SE,FT,Machine Learning Engineer,188000,USD,188000,US,100,US,M
37,2023,SE,FT,Data Scientist,238000,USD,238000,CA,100,CA,M
38,2023,SE,FT,Data Scientist,156000,USD,156000,CA,100,CA,M
39,2023,SE,FT,Data Analyst,145000,USD,145000,US,100,US,M
40,2023,SE,FT,Data Analyst,106000,USD,106000,US,100,US,M
43,2023,SE,FT,Machine Learning Engineer,297300,USD,297300,US,100,US,M
44,2023,SE,FT,Machine Learning Engineer,198200,USD,198200,US,100,US,M
45,2023,SE,FT,Data Engineer,269100,USD,269100,US,0,US,M
46,2023,SE,FT,Data Engineer,131300,USD,131300,US,0,US,M
47,2023,SE,FT,Machine Learning Infrastructure Engineer,220000,USD,220000,US,100,US,M
48,2023,SE,FT,Machine Learning Infrastructure Engineer,150000,USD,150000,US,100,US,M
51,2023,MI,FT,Research Scientist,252990,USD,252990,US,100,US,M
52,2023,MI,FT,Research Scientist,162170,USD,162170,US,100,US,M
53,2023,SE,FT,Machine Learning Infrastructure Engineer,260000,USD,260000,US,100,US,M
54,2023,SE,FT,Machine Learning Infrastructure Engineer,235000,USD,235000,US,100,US,M
55,2023,MI,FT,Machine Learning Engineer,204500,USD,204500,US,0,US,M
56,2023,MI,FT,Machine Learning Engineer,142200,USD,142200,US,0,US,M
57,2023,SE,FT,Data Analytics Manager,190000,USD,190000,US,0,US,M
58,2023,SE,FT,Data Analytics Manager,145000,USD,145000,US,0,US,M
59,2023,SE,FT,Data Scientist,212800,USD,212800,US,100,US,M
60,2023,SE,FT,Data Scientist,111600,USD,111600,US,100,US,M
61,2023,SE,FT,Data Analyst,175000,USD,175000,US,100,US,M
62,2023,SE,FT,Data Analyst,130000,USD,130000,US,100,US,M
63,2023,SE,FT,Business Intelligence Analyst,194521,USD,194521,US,0,US,M
64,2023,SE,FT,Business Intelligence Analyst,176838,USD,176838,US,0,US,M
65,2023,EX,FT,Analytics Engineer,200000,USD,200000,US,0,US,M
66,2023,EX,FT,Analytics Engineer,170000,USD,170000,US,0,US,M
67,2023,SE,FT,Data Scientist,191765,USD,191765,US,0,US,M
68,2023,SE,FT,Data Scientist,134236,USD,134236,US,0,US,M
69,2023,SE,FT,Data Scientist,238000,USD,238000,CA,100,CA,M
70,2023,SE,FT,Data Scientist,156000,USD,156000,CA,100,CA,M
71,2023,SE,FT,Data Scientist,198800,USD,198800,US,0,US,M
72,2023,SE,FT,Data Scientist,90700,USD,90700,US,0,US,M
